site_code,site_name,latitude,longitude,country,rls_mpa,rls_protection_status_old,designation,protected_seas_id,wdpa_id,ps_name,ps_country,year_of_protection,level_fishing_protection,mpa_marine_area_km,zone_marine_area_km,compliance,data_source,validated,comments
ACEH7,Silaho,5.89528,95.25436,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH8,Arus Paleh,5.89083,95.25436,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH9,Anoi Hitam,5.82587,95.37793,Indonesia,Panglima Laut,Restricted take,MPA,AIIDN1513,,east coast of weh is. aquatic nature sanctuary - sustainable fisheries zone,Indonesia,2010,3,NA,29.859,Medium,PS,EC,Year of protection updated.
ADV,Adventure Bay,-43.3329,147.3255,Australia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AH1,Amahusu Point,-3.73226,128.1372,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AH2,Amahusu,-3.73631,128.1349,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AH3,Laha Muck,-3.71001,128.102,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AH4,Laha Airport,-3.71814,128.0934,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AH5,Ambon South Coast,-3.7677,128.1541,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL1,Ailuk Inside SE,10.25911,169.9801,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL10,Ailuk House Reef,10.22592,169.9288,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL2,Ailuk Inside E,10.2822,169.9756,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL3,Ailuk inside SSW corner,10.22375,169.9619,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL4,Liklal Island,10.292,169.8544,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL5,Liklal Island Pass 2,10.25921,169.8725,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL6,Ailuk Lagoon,10.39396,169.9148,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL7,Ailuk Nth Pass Outside,10.40857,169.914,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL8,Ailuk Middle Pass,10.35851,169.9087,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AL9,Liklal Island Pass,10.29374,169.8529,Republic of the Marshall Islands,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND1,Estepona,36.4149,-5.17,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND11,Cala del PeÃ±on,36.81807,-2.54291,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND12,El dÃ­ez,36.8174,-2.54514,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND13,La isleta del Moro,36.81349,-2.04109,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND14,Bello rincon,36.82431,-2.51845,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND15,El palmer,36.81855,-2.53369,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND16,San Jose Puerto,36.76189,-2.10126,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND17,Aguadulce Puerto,36.81396,-2.55951,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND18,Cueva del Frances,36.7737,-2.06953,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND19,Aguamarga,36.93688,-1.93569,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND2,San Pedro de Alcantara,36.4776,-4.9725,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND20,Cala del Plomo,36.92017,-1.95253,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND21,Pta. Del Castillo,36.75247,-2.11407,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,Outside the marine reserve.
AND22,La Atalaya,36.76726,-2.07892,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND23,Pta. Genoveses I,36.73954,-2.11407,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND24,Las Negras,36.8834,-2.00063,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND25,El Playazo,36.86206,-2.004,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND26,Cala de los Toros,36.82099,-2.04086,Spain,Cabo de Gata-Nijar Marine Reserve,Restricted take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,3,121.5807019,121.971,Medium,PS,EC,Year of protection updated.
AND27,Los Muertos I,36.93617,-1.91264,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,2.130,Medium,RLS,EC,The no-take zone this site falls in isn't in the PS data. Area and year also updated.
AND28,Los muertos II,36.93564,-1.90969,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,2.130,Medium,RLS,EC,The no-take zone this site falls in isn't in the PS data. Area and year also updated.
AND29,Isla de San Andres I,36.89779,-1.96779,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,5.089,Medium,RLS,EC,The no-take zone this site falls into isn't in the PS data (Punta Javana). Year and area updated.
AND3,Marbella,36.5061,-4.8926,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND30,Isla de San Andres II,36.89779,-1.96779,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,5.089,Medium,RLS,EC,The no-take zone this site falls into isn't in the PS data (Punta Javana). Year and area updated.
AND31,Camping izquierda,36.82467,-2.5124,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND32,Playa de las Olas,36.82794,-2.49104,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND33,Puerto izquierda,36.81742,-2.55311,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND34,La Convergencia,36.81743,-2.54936,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND35,Pta. Loma pelada (Reserva integral I),36.77983,-2.06185,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,3.080,Medium,RLS,EC,The no-take zone this site falls in isn't in the PS data. Year updated from RLS data
AND36,Pta. Loma pelada (Reserva integral II),#N/A,#N/A,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,3.080,Medium,RLS,EC,THe no-take zone this falls in isn't in the PS data. Area and year updated.
AND37,Pta. De la Polacra (Reserva integral I),36.85325,-1.99781,Spain,Cabo de Gata-Nijar Marine Reserve,No take,MPA,AIESP186,555552486,reserva marina del cabo de gata-nÃ­jar,Spain,1997,5,121.5807019,3.050,Medium,RLS,EC,The no-take zone this site falls in isn't in the PS data (Polacra). Year and area updated from RLS data
AND38,Tajo de Calahonda,36.70234,-3.40636,Spain,,Restricted take multizoned,MPA,AIESP300,555523927,acantilados y fondos marinos de calahonda-castell de ferro,Spain,2015,2,NA,8.749,Low,PS,,
AND39,El RincÃ³n,36.71564,-3.36227,Spain,,Restricted take multizoned,MPA,AIESP300,555523927,acantilados y fondos marinos de calahonda-castell de ferro,Spain,2015,2,NA,8.749,Low,PS,,
AND4,Cabo Pino,36.4844,-4.7388,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND40,Barranco del Negro,36.73958,-3.32598,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND41,Playa cambriles,36.73628,-3.34024,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND42,La RÃ¡bita,36.74847,-3.17632,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND43,BaÃ±os de Guarda Viejas II,36.69906,-2.85448,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND44,Tesorillo,36.74291,-3.67429,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND45,La Herradura,36.73579,-3.75762,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND46,Pta. De la Mona,36.72055,-3.72841,Spain,,Restricted take multizoned,MPA,AIESP297,555523929,acantilados y fondos marinos de la punta de la mona,Spain,2015,2,1.151994446,1.150,Low,PS,,
AND47,ZacatÃ­n,36.7068,-3.40237,Spain,,Restricted take multizoned,MPA,AIESP300,555523927,acantilados y fondos marinos de calahonda-castell de ferro,Spain,2015,2,NA,8.749,Low,PS,,
AND48,La Rijana,36.70875,-3.38867,Spain,,Restricted take multizoned,MPA,AIESP300,555523927,acantilados y fondos marinos de calahonda-castell de ferro,Spain,2015,2,NA,8.749,Low,PS,,
AND49,La caleta de SalobreÃ±a,36.74419,-3.6024,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND5,El Faro,36.5063,-4.6435,Spain,,Fishing,MPA,AIESP429,555523983,calahonda,Spain,2015,2,13.64595989,13.770,Low,PS,EC,This is a natura 2000 site so technically an MPA but with low protection.
AND51,Torrequebrada,36.57911,-4.54429,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND52,Maro cerro gordo (Reserva integral I),36.72949,-3.76833,Spain,,No take,MPA,AIESP296,365022,acantilados de maro cerro gordo,Spain,1989,5,14.00000766,14.074,Medium,Mix,EC,
AND53,Maro cerro gordo II,36.73122,-3.77111,Spain,,No take,MPA,AIESP296,365022,acantilados de maro cerro gordo,Spain,1989,5,14.00000766,14.074,Medium,Mix,EC,
AND54,Maro fuera reserva,36.75341,-3.83672,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND55,La perla,36.42568,-5.12462,Spain,,Restricted take multizoned,MPA,AIESP467,555523988,fondos marinos de la bahía de estepona,Spain,2000,2,NA,5.751,,PS,,
AND56,Playa de Guadalmansa,36.45149,-5.04938,Spain,,Restricted take multizoned,MPA,AIESP465,555523989,el saladillo - punta de baÃ±os,Spain,2016,2,32.42436972,32.439,,PS,,
AND57,Isla de Tarifa (Parque Natural I),36.00405,-5.61258,Spain,,Restricted take,MPA,AIESP439,348851,estrecho,Spain,2003,4,92.03801707,48.014,,PS,,Site of community importance - suggest reducing protection level.
AND58,Isla de Tarifa (Parque Natural II),36.00154,-5.61248,Spain,,Restricted take,MPA,AIESP439,348851,estrecho,Spain,2003,4,92.03801707,48.014,,PS,,Site of community importance - suggest reducing protection level.
AND59,Los Tuneles,36.81924,-2.53723,Spain,,Fishing,MPA,AIESP301,555593033,sur de almerÃ­a - seco de los olivos,Spain,2014,2,2830.083742,2828.421,Low,PS,EC,
AND6,Calahonda,36.7026,-3.4111,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND60,Isla de Tarifa (Parque Natural III),36.00433,-5.60649,Spain,,Restricted take multizoned,MPA,AIESP439,348851,estrecho,Spain,2003,4,92.03801707,48.014,,PS,,Site of community importance - suggest reducing protection level.
AND61,Isla de AlborÃ¡n (Reserva integral I),35.93983,-3.03251,Spain,Isla de Alboran Marine Reserve,No take,MPA,AIESP288,555552483,reserva marina de la isla de alborÃ¡n,Spain,1997,5,16.49684949,13.882,High,RLS,EC,"This is in the integral reserve (i.e., no take). Area in PS correct."
AND62,La Rijana (Observatorio 2),36.71612,-3.36179,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND63,Castell (Observatorio 3),36.70778,-3.3892,Spain,,Restricted take multizoned,MPA,AIESP300,555523927,acantilados y fondos marinos de calahonda-castell de ferro,Spain,2015,2,NA,8.749,Low,PS,,
AND64,Isla San AndrÃ©s (Parque Natural),36.99272,-1.88644,Spain,,Restricted take,MPA,AIESP451,555523879,islote de san andres,Spain,2015,2,0.4180655861,0.418,,PS,,
AND65,Isla San Juan,37.34797,-1.65212,Spain,,Restricted take multizoned,MPA,AIESP312,555523869,fondos marinos levante almeriense,Spain,2016,3,106.2042436,106.503,,PS,,
AND66,Villaricos Norte,37.30765,-1.70448,Spain,,Restricted take multizoned,MPA,AIESP312,555523869,fondos marinos levante almeriense,Spain,2016,3,106.2042436,106.503,,PS,,
AND7,Adra,36.7432,-3.0128,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND8,Almeria puerto,36.83,-2.4575,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AND9,Camping,36.82498,-2.51469,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT1,South Cove South of T310m,-67.5697,-68.1319,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT2,South Cove South,-67.5705,-68.1327,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT3,Couth Cove End Runway,-67.57,-68.13,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT4,End Runway,-67.5717,-68.1312,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT5,Wharf,-67.5723,-68.1296,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT7,Trovall,-67.5958,-68.2114,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT8,Shacks crack,-67.5546,-68.1972,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ANT9,Anchorage Wall,-67.5994,-68.1939,Antarctica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG1,San Roman,-42.2556,-64.2341,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG10,Los Bollones,-42.9336,-64.5011,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG11,Punta la Islita,-41.9586,-65.0581,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG12,La Islita,-41.952,-65.0621,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG13,Alejos Crack,-41.9431,-65.0576,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG2,Pafer,-42.6254,-64.2561,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG3,PNU,-42.6219,-64.275,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG4,Colombo,-42.6284,-64.2404,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG5,Wreck Mirralles,-42.7693,-64.9701,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG6,Punta Este,-42.7753,-64.9498,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG7,Sitio Top Secret,-42.7707,-64.9364,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG8,El Bosque,-42.9416,-64.4551,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ARG9,El Pedral,-42.9478,-64.4334,Argentina,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AST1,Portizuelo,43.54919,-6.5179,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
AST2,CoaÃ±a,43.55704,-6.78715,Spain,,Fishing,MPA,AIESP542,555523879,penarronda-barayo,Spain,2001,2,NA,30.973,,PS,,Site of community importance - consider changing to fished.
AST3,Las Gemelas,43.55612,-5.60847,Spain,,Fishing,MPA,AIESP633,555523115,yacimientos de icnitas,Spain,2014,2,32.73921171,18.614,Low,PS,EC,
AST4,Tazones,43.54603,-5.39724,Spain,,Fishing,MPA,AIESP633,555523115,yacimientos de icnitas,Spain,2014,2,32.73921171,18.614,Low,PS,EC,
AST5,Playa de Troanzo,43.43909,-4.81924,Spain,,Fishing,MPA,AIESP630,555548998,ría de ribadesella - ría de tinamayor,Spain,2003,2,NA,46.433,,PS,,Natura2000 site - consider changing to fished
AST6,Pendueles,43.39858,-4.62804,Spain,,Fishing,MPA,AIESP630,555548998,ría de ribadesella - ría de tinamayor,Spain,2003,2,NA,46.433,,PS,,Natura2000 site - consider changing to fished
BA1,Pulau Kasiui SW,-4.53,131.6519,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA10,Seaweed Farm,-5.63704,132.6295,Indonesia,,Fishing,MPA,AIIDN1275,555635923,"kei kecil island, its surrounding islands and waters small island park",Indonesia,2016,1,1348.259418,1306.390,Low,PS,EC,
BA11,Karang Mitlilir,-5.66913,132.5835,Indonesia,,Fishing,MPA,AIIDN1275,555635923,"kei kecil island, its surrounding islands and waters small island park",Indonesia,2016,1,1348.259418,1306.390,Low,PS,EC,
BA12,Pulau Liek,-5.78261,132.6265,Indonesia,,Fishing,MPA,AIIDN1275,555635923,"kei kecil island, its surrounding islands and waters small island park",Indonesia,2016,1,1348.259418,1306.390,Low,PS,EC,
BA13,Kai Tanimbar,-6.00515,132.428,Indonesia,,Fishing,MPA,AIIDN1275,555635923,"kei kecil island, its surrounding islands and waters small island park",Indonesia,2016,1,1348.259418,1306.390,Low,PS,EC,
BA2,Pulau Baam NW,-4.58683,131.687,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA3,Pulau Kurkap,-4.53805,131.783,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA4,Pulau Tioor NW,-4.71804,131.7268,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA5,Pulau-Pulau Kai North,-5.13609,132.0131,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA6,Pulau-Pulau Kai South,-5.1746,132.0089,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA7,Kanar Yapas,-5.30438,131.9969,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA8,Pulau Ubur West,-5.57744,132.7078,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BA9,Pulau Krus West,-5.57774,132.663,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BAL1,San Antonio,38.991,1.28736,Spain,,Fishing,Fished,,,,,,0,,,,RLS,EC,
BAL10,Sureste (integral),39.28879,3.0953,Spain,Migjorn de Mallorca Marine Reserve,No take,MPA,AIESP110,,migjorn de mallorca,Spain,2002,5,221.2004741,2.930,Medium,RLS,EC,The no-take component of this marine reserve isn't in the PS data. Area manually updated: https://marilles.org/storage/media/2019/11/279/fm-briefing-amp-en.pdf
BAL11,Imperial (reserva marina),39.12498,2.95403,Spain,El Parque Nacional Maritimi-Terrestre del Archipielago de Cabrera,Restricted take,MPA,AIESP112,555548931,arxipÃ¨lag de cabrera,Spain,2006,2,190.0408979,86.062,Medium,PS,EC,
BAL12,Imperial (integral),39.12612,2.94915,Spain,El Parque Nacional Maritimi-Terrestre del Archipielago de Cabrera,Restricted take,MPA,AIESP112,555548931,arxipÃ¨lag de cabrera,Spain,2006,2,190.0408979,86.062,Medium,PS,EC,
BAL13,Cabrera II (reserva marina),39.15634,2.93381,Spain,El Parque Nacional Maritimi-Terrestre del Archipielago de Cabrera,Restricted take,MPA,AIESP112,555548931,arxipÃ¨lag de cabrera,Spain,2006,2,190.0408979,86.062,Medium,PS,EC,
BAL14,Cabrera II (integral),39.15615,2.94887,Spain,El Parque Nacional Maritimi-Terrestre del Archipielago de Cabrera,Restricted take,MPA,AIESP112,555548931,arxipÃ¨lag de cabrera,Spain,2006,2,190.0408979,86.062,Medium,PS,EC,
BAL15,Isla Conejera (Reserva marina),39.18405,2.96006,Spain,El Parque Nacional Maritimi-Terrestre del Archipielago de Cabrera,Restricted take,MPA,AIESP112,555548931,arxipÃ¨lag de cabrera,Spain,2006,2,190.0408979,86.062,Medium,PS,EC,
BAL16,Cala pi,39.36497,2.85154,Spain,,Fishing,MPA,AIESP110,,migjorn de mallorca,Spain,2002,3,,221.589,Medium,PS,EC,
BAL17,Palma (integral),39.45219,2.73637,Spain,Bahia de Palma Marine Reserve,No take,MPA,AIESP108,,bahia de palma,Spain,1982,5,23.21038533,2.000,Medium,RLS,EC,The no-take component of this reserve isn't in the PS data. Area updated.
BAL18,Palma (fuera reserva),39.45005,2.73779,Spain,Bahia de Palma Marine Reserve,Fishing,MPA,AIESP108,,bahia de palma,Spain,1982,3,23.21038533,23.143,Medium,PS,EC,
